18.02.19-02:04 Info: "GameTree", main.cpp
18.02.19-02:04 Debug: Language Change, mainwindow.cpp
18.02.19-02:04 Info: Audioplayer initialization, mainwindow.cpp
18.02.19-02:04 Info: Get Data From DB, mainwindow.cpp
18.02.19-02:04 Debug: DB Connected, mainwindow.cpp
18.02.19-02:04 Debug: "C:/Qt/project/GameTree", mainwindow.cpp
18.02.19-02:04 Debug: Load settings, mainwindow.cpp
18.02.19-02:04 Debug: Language Change, mainwindow.cpp
18.02.19-02:04 Debug: Language Change, mainwindow.cpp
18.02.19-02:05 Debug: Language Change, mainwindow.cpp
18.02.19-02:05 Debug: Language Change, mainwindow.cpp
